INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,,,
2026,4,1.7,5,2.5,2.5,10,15,17.5,17.5,10,10,5,2.5,2.5,,,,,,,,,
2026,6,1.5,,,,,15,35,35,15,,,,,,,,,,,,,
2026,7,,,,,,,,,,,,,,,,,,,,,,
2026,14,3.2,0,0,0,0,1,2,6,12,19,21,19,20,,,,,,,,,
2026,15,2.2,,,,5,10,10,15,20,15,10,10,5,,,,,,,,,
2026,16,1.4,3,3,5,10,18,22,18,10,5,3,2,1,,,,,,,,,
2026,20,1.7,,,3,7,10,25,30,20,5,,,,,,,,,,,,
2026,22,2,,,,,,15,35,35,15,,,,,,,,,,,,
2026,23,2.6,,,,2,5,10,15,20,25,15,5,3,,,,,,,,,
2026,24,1.4,.5,2,4,6,16,22,26,12,6,3,2,.5,,,,,,,,,
2026,26,1.8,,2,3,6,12,12,22,20,12,6,3,2,,,,,,,,,
2026,29,1.7,0,0,.5,1,4,7,50,30,6,1,.5,0,,,,,,,,,
2026,30,1.6,,,,,5,35,40,20,,,,,,,,,,,,,
2026,32,,,,,,,,,,,,,,,,,,,,,,
2026,37,2.2,,,,,,3,40,48,9,,,,,,,,,,,,
2026,39,1.8,,,,5,15,20,25,20,10,5,,,,,,,,,,,
2026,41,,,,,,,,,,,,,,,,,,,,,,
2026,42,,,,,,,,,,,,,,,,,,,,,,
2026,45,1.88,,,,5,10,15,25,25,10,5,5,,,,,,,,,,
2026,47,2,,,,,,,,,,,,,,,,,,,,,
2026,48,1.5,,,,,,,,,,,,,,,,,,,,,
2026,49,,,,,,,,,,,,,,,,,,,,,,
2026,52,,,,,,,,,,,,,,,,,,,,,,
2026,54,,,,,,30,40,30,,,,,,,,,,,,,,
2026,56,1.4,,,,5,20,35,30,10,,,,,,,,,,,,,
2026,61,,,,,,,,,,,,,,,,,,,,,,
2026,65,,,,,,,,,,,,,,,,,,,,,,
2026,73,1.5,,,,,15,35,40,10,,,,,,,,,,,,,
2026,80,2.1,1.5856236786,1.9027484144,2.4312896406,5.7082452431,10.2536997886,10.9936575053,16.3847780126,14.9048625793,13.0021141649,7.2938689218,6.3424947146,9.1966173362,,,,,,,,,
2026,82,,,,,,,,,,,,,,,,,,,,,,
2026,85,1.8654175134,.0242663737,.1620227807,.8518901202,3.1970269088,8.5671151458,16.3977246036,22.422614165,21.9072870543,15.2928069378,7.6265712407,2.7165381954,.834136474,,,,,,,,,
2026,88,2,,,,,,,,,,,,,,,,,,,,,
