Date,FCT_SOURCE,POINT,"]-inf,-15]","[-15,-13]","[-13,-11]","[-11,-9]","[-9,-7]","[-7,-6]","[-6,-5.5]","[-5.5,-5]","[-5,-4.5]","[-4.5,-4]","[-4,-3.5]","[-3.5,-3.1]","[-3,-2.5]","[-2.5,-2.1]","[-2,-1.5]","[-1.5,-1.1]","[-1,-0.5]","[-0.5,-0.1]","[0,0.5]","[0.5,1]","[1,1.5]","[1.5,2]","[2,2.5]","[2.5,3]","[3,3.5]","[3.5,4]","[4.0,4.5]","[4.5,5]","[5,5.5]","[5.5,6]","[6,8]","[8,10]","[10,+inf["
2000-01-01,24.0,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10.0,20.0,25.0,25.0,15.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0
2000-01-01,26.0,2.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.0,10.0,20.0,30.0,20.0,10.0,1.25,1.25,0.0,0.0,,1.25,1.25
2000-01-01,33.0,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,50.0,50.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
2000-01-01,36.0,2.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.0,20.0,40.0,30.0,5.0,,0.0,0.0,0.0,0.0,,0.0,0.0
2000-01-01,37.0,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,25.0,50.0,25.0,,0.0,0.0,0.0,0.0,,0.0,0.0
2000-01-01,38.0,2.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10.0,80.0,10.0,,0.0,0.0,0.0,0.0,,0.0,0.0
2000-01-01,39.0,2.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,15.0,50.0,25.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0
2000-01-01,40.0,2.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,10.0,20.0,25.0,30.0,10.0,,0.0,0.0,0.0,0.0,,0.0,0.0
2000-01-01,41.0,2.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,20.0,60.0,20.0,,0.0,0.0,0.0,0.0,,0.0,0.0
2000-01-01,42.0,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,40.0,50.0,10.0,,0.0,0.0,0.0,0.0,,0.0,0.0
2000-01-01,44.0,2.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.0,20.0,30.0,30.0,10.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0
2000-01-01,46.0,2.09,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0303030303030303,13.131313131313133,27.272727272727277,31.313131313131315,18.181818181818183,6.0606060606060606,1.0101010101010102,0.0,0.0,0.0,0.0,,0.0,0.0
2000-01-01,48.0,2.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10.0,20.0,60.0,10.0,,0.0,0.0,0.0,0.0,,0.0,0.0
2000-01-01,49.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,20.0,20.0,30.0,20.0,2.5,2.5,0.0,0.0,,2.5,2.5
